Year,Month,Day,Time (in MPH),Speed
2019,12,02,14:01:31,30.279656694805535
2019,12,02,14:01:36,20.21569987985106
2019,12,02,14:01:51,18.44349198764391
2019,12,02,14:01:56,20.27187652473165
2019,12,02,14:02:24,28.786470149185376
2019,12,02,14:02:30,20.630285381714017
2019,12,02,14:02:35,17.336657906992375
2019,12,02,14:02:45,18.917569323960024
2019,12,02,14:02:50,20.65816983197745
2019,12,02,14:16:21,25.694900541827252
2019,12,02,14:16:27,19.31582235760801
2020,02,04,20:35:44,41.968772983114455
2020,02,04,20:35:48,21.024526393336533
2020,02,04,20:36:16,22.367758302978363
2020,02,04,20:36:30,19.1143427208317
2020,02,04,20:36:37,17.555967730772657
2020,02,04,20:36:47,27.910332235816032
2020,02,05,11:54:23,36.828480508026104
2020,02,05,11:54:27,18.954877855576274
2020,02,06,00:03:44,55.82184055906798
2020,02,07,06:03:38,9.186708272829172,060338300602
2020,02,07,06:03:57,7.124504492356452,060357479272
2020,02,07,06:04:12,6.8168310969390005,060412774078
2020,02,07,06:04:39,6.860344855399265,060439893843
2020,02,07,06:04:53,7.935083255928759,060453889284
2020,02,07,06:15:06,11.397889959922683,061506552102
2020,02,07,06:15:23,6.755180531478865,061523543877
2020,02,07,06:15:41,5.90542236496017,061541533395
2020,02,07,06:16:13,6.390136685135187,061613303348
2020,02,07,06:16:28,6.810886533972265,061628238040
2020,02,07,06:19:35,8.84377638145053,061935255789
2020,02,07,06:19:55,5.474566012652809,061955058789
2020,02,07,06:20:14,5.348503106120584,062014094660
2020,02,07,06:20:46,6.631183919328802,062046877503
2020,02,07,06:21:02,7.5031110341418525,062102095415
2020,02,07,06:28:46,11.72840626382761,062846680067
2020,02,07,06:29:04,6.421163465552182,062904299036
2020,02,07,06:29:21,6.640663417982209,062921181873
2020,02,07,06:29:50,6.372417591786431,062950587660
2020,02,07,06:30:06,6.823883279871202,063006661862
2020,02,11,18:34:12,1.2302863207381005,183412659492
2020,02,11,18:34:25,1.6421873910726943,183425401174
2020,02,11,18:34:25,1.209897762714308,183425401174
2020,02,11,18:34:38,1.0337004349990242,183438446553
2020,02,11,18:34:56,1.2095732398069416,183456999859
2020,02,11,18:35:28,4.767472782410987,183528376348
2020,02,11,18:35:29,5.071424626291524,183529733723
2020,02,11,18:35:32,4.969626989542505,183532169835
2020,02,11,18:36:01,2.56650342890024,183601551186
2020,02,11,18:36:06,3.2267024104993274,183606175430
2020,02,11,18:36:29,2.2364047229068076,183629181888
2020,02,11,18:36:45,1.5557503216608128,183645492019
2020,02,11,18:36:56,43.185328130690955,183656350540
2020,02,11,18:37:05,1.3434241787280043,183705939050
2020,02,11,18:37:12,1.1754851617731377,183712937933
2020,02,11,18:37:15,1.3420449723067123,183715731415
2020,02,11,18:37:34,3.542783429844098,183734971531
2020,02,11,18:37:36,5.225055256612929,183736830996
2020,02,11,18:37:54,7.872629148826915,183754335213
2020,02,11,18:38:20,5.164093107885108,183820183925
2020,02,11,18:38:23,5.241171206960461,183823571323
2020,02,11,18:38:26,3.628087520018222,183826394023
2020,02,11,18:38:28,3.872288145622772,183828601651
2020,02,11,18:38:42,2.2981078312247183,183842022238
2020,02,11,18:38:56,4.734251273224179,183856696804
2020,02,11,18:38:57,4.553065494413573,183857968266
2020,02,11,18:39:01,1.2679676092991339,183901712740
2020,02,11,18:39:10,8.320486326680207,183910241708
2020,02,11,18:39:27,1.693549942715224,183927628712
2020,02,11,18:39:39,2.0229608093180707,183939490771
